,2192,2124,2208,1068
378,-0.041872948,59.611641,5.1051073,55.849613
379,3.4667079,-0.42765462,6.7687469,0.67609978
380,12.57764,17.284224,6.1783028,9.4624424
381,6.6669235,44.582874,13.967571,38.561852
382,0,0.62480325,0.02348423,0
383,8.2191677,7.2868514,2.6667116,10.106976
384,2.194392,12.198342,0,8.5208855
385,4.0445743,7.5370641,2.7799141,5.7120404
386,0.95865393,59.43784,3.680896,58.533726
387,16.733507,1.2511722,8.5178595,3.3476579
388,5.7490854,2.3746917,8.3145142,4.3145247
389,3.0676379,0.2978192,3.60763,0.23828441
390,17.303192,1.0666015,8.82372,2.2909751
391,33.306839,90.785179,51.99556,77.123856
392,0.64440238,7.5665112,-0.058405891,5.0493579
393,0.32957914,4.607523,0,4.2380939
394,0.45169467,4.715858,-0.1995942,3.7875159
395,8.7811518,15.04151,4.047368,7.7096419
396,2.0546036,4.03162,1.6700109,1.7832686
397,2.1245966,4.8072309,1.9439369,2.6249197
398,29.837395,22.91387,11.12404,28.160521
399,7.2671828,2.1362171,12.71644,1.7785
400,30.970634,22.648729,11.60838,27.817636
